City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Iroquois Falls,CA,48.7669,-80.6831,50.14,52,100,11.61,overcast clouds
326,Shahrud,IR,36.4182,54.9763,75.79,15,0,2.8,clear sky
327,Solnechnyy,RU,50.7214,136.6319,41.29,77,9,4.36,clear sky
328,Longkou,CN,37.6508,120.3286,71.47,76,100,7.78,light rain
329,Gamba,GA,-2.65,10.0,77.54,79,67,9.42,light rain
330,Namatanai,PG,-3.6667,152.4333,78.4,79,100,7.05,overcast clouds
331,Aklavik,CA,68.2191,-135.0107,31.03,94,99,4.9,overcast clouds
332,Khanpur,PK,28.6453,70.6567,90.93,49,36,11.7,scattered clouds
333,Antalaha,MG,-14.9003,50.2788,70.38,77,0,11.07,clear sky
334,Mount Pleasant,US,32.7941,-79.8626,81.0,63,1,3.0,clear sky
335,Kiruna,SE,67.8557,20.2251,40.12,93,75,11.5,heavy intensity rain
336,Ust-Nera,RU,64.5667,143.2,36.81,66,33,4.34,scattered clouds
337,Puerto Narino,CO,-3.7703,-70.3831,78.75,50,94,2.91,overcast clouds
338,Salalah,OM,17.0151,54.0924,82.49,89,40,5.75,scattered clouds
339,Zhigansk,RU,66.7697,123.3711,40.33,76,100,4.52,overcast clouds
340,Luderitz,NA,-26.6481,15.1594,60.35,73,2,15.52,clear sky
341,Hovd,MN,48.0056,91.6419,46.35,41,12,8.3,few clouds
342,Conceicao Do Araguaia,BR,-8.2578,-49.2647,108.18,14,51,4.92,broken clouds
343,Sola,VU,-13.8833,167.55,78.15,81,91,16.96,overcast clouds
344,Tigil,RU,57.8,158.6667,39.0,90,20,4.16,few clouds
345,San Quintin,MX,30.4833,-115.95,77.34,65,62,10.09,broken clouds
